Andrii_trial_6
Date:,2020/08/03
Time:,15:46:59
Type:,muscu_imu
Description:,""
Notes:,"Trial1_Flexion"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1975,400.380798,612.245789,329.856812,374.045654,462.541718,151.229996,378.117584,315.208954,26.402864
1976,400.679565,612.478027,329.334503,374.763641,464.995850,147.425613,377.989227,322.121796,16.911001
1977,400.901520,612.559143,328.855103,375.589935,467.601532,143.544601,377.905975,329.076355,7.860484
1978,401.062073,612.540649,328.295563,376.407745,470.303497,139.910843,378.070251,336.184662,-1.051333
1979,401.248169,612.178711,327.925385,377.750946,472.819519,136.358368,378.613373,343.326874,-9.511072
1980,401.505951,612.098511,327.395416,379.100647,475.628937,133.159225,379.485626,350.637451,-17.519913
1981,401.650574,611.917542,326.827759,380.609161,478.191376,130.040527,380.675293,357.394409,-24.901121
1982,402.024689,611.710205,325.971100,382.223816,480.742371,127.145622,381.989777,364.401001,-31.753456
1983,402.286774,611.410461,325.240692,384.032227,483.546631,124.194244,383.943512,370.871033,-38.670849
1984,402.724182,611.086792,324.445190,385.876404,486.234436,121.234177,385.424866,377.316681,-44.520966
1985,403.134064,610.962280,323.727051,387.549347,489.162292,118.564514,387.077484,383.567902,-49.880466
1986,403.592865,611.286621,322.687073,388.786926,492.211243,116.357559,388.624329,389.538879,-54.422642
1987,404.190765,611.434082,321.603027,390.462646,494.962372,113.816071,390.346069,395.372253,-58.940041
1988,404.534790,611.603455,320.874359,391.783905,497.798706,111.707283,391.707245,400.847046,-62.621834
1989,404.923798,612.467773,320.104950,393.140747,500.459076,109.711571,393.002869,405.820679,-66.142357
1990,405.628784,613.448792,319.200745,394.373901,503.095001,107.990669,394.451263,410.452148,-68.960922
1991,406.117767,614.490295,318.583984,395.646088,505.690643,106.520821,395.936646,414.622620,-71.615471
1992,406.567719,615.493103,317.909271,396.658722,507.971313,105.211578,397.440796,418.151886,-73.682045
1993,406.724670,616.738770,317.675415,397.577087,510.046417,104.131676,398.789124,421.023895,-75.205688
1994,407.215729,618.089111,317.088989,398.186951,511.864899,103.372948,400.097748,423.360260,-76.201393
1995,407.574921,619.161865,316.942322,399.048492,513.485474,102.628677,401.600891,425.273773,-77.103447
1996,407.697205,620.376709,316.944366,399.563751,514.704956,102.209892,402.775177,426.838684,-77.749641
1997,407.794312,621.110718,316.967957,400.160950,515.734192,101.896309,403.669098,427.691132,-77.855888
1998,407.745972,621.983887,316.918549,400.697388,516.332153,101.659447,404.145081,428.231354,-77.838280
1999,407.810974,622.289001,317.028381,401.121887,516.828308,101.568283,404.783966,428.220306,-77.415230
2000,407.923035,622.588135,316.807007,401.416199,516.897339,101.634392,405.288605,427.636597,-76.860802
