Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
163,369.083557,319.113251,565.409058,201.320145,224.491348,691.487549,116.366936,165.161713,751.817566
164,366.489441,312.579346,569.803650,207.184555,209.064346,698.527222,127.588371,144.238052,760.951904
165,364.084686,306.116943,573.518372,213.915024,193.757401,704.600586,139.641342,123.337997,768.618103
166,362.043915,299.144562,577.055481,220.508987,178.235489,709.468018,152.638428,102.372490,774.423401
167,360.164124,291.905243,580.104248,228.151688,162.764832,713.082336,166.325516,81.489265,778.469055
168,358.908112,284.407318,582.586426,236.184769,147.369476,715.431213,180.514893,60.673916,781.219177
169,357.896118,277.140167,584.624390,245.043777,131.969925,716.615906,195.279541,40.210072,782.371948
170,356.977081,269.627594,586.500610,254.368668,117.040771,716.767090,210.839188,19.552017,781.736511
171,356.527527,262.132629,587.927979,264.084290,102.156189,715.500244,226.866272,-0.935709,779.319946
172,356.808228,253.916885,588.057739,274.159790,87.851990,713.366455,243.575089,-21.108299,775.468262
173,356.927094,245.721695,588.486328,284.491974,73.727409,709.932556,260.948608,-40.972755,769.593445
174,357.259796,237.650970,588.210876,294.993683,59.855267,705.168335,279.136688,-60.534023,761.799377
175,358.003113,229.201721,587.445740,305.673828,46.341476,699.501404,297.809570,-79.402740,752.137268
176,358.683929,220.569153,586.607544,316.458374,33.357059,692.582947,317.370148,-97.321877,740.324646
177,359.745087,211.889282,584.891235,327.187622,20.415014,684.458374,337.372040,-114.599785,726.615356
178,360.591003,202.903275,582.634277,338.258698,8.018022,675.055176,357.548828,-130.386017,710.627136
179,361.295624,193.736298,579.844421,349.268555,-4.227079,664.471436,377.761230,-144.924728,692.673035
180,361.811127,184.763412,576.511536,359.971344,-16.278154,652.589783,398.016052,-157.933823,672.850952
181,362.235962,175.725830,572.345703,370.896698,-27.840761,639.321106,418.068146,-169.501968,651.508728
182,362.284821,166.658005,567.506165,381.644257,-39.357010,624.736328,437.541382,-179.526184,628.617981
183,362.340302,157.668076,561.576294,392.666534,-50.424412,609.009216,456.820190,-187.969513,604.399353
184,362.171326,148.510834,554.582153,403.436005,-61.132732,592.491760,476.146210,-194.938934,579.254211
185,361.959412,139.256973,546.429565,414.610413,-71.349258,574.830933,495.399109,-200.274185,553.691040
186,362.065582,129.789307,537.035400,426.124268,-80.954933,556.656982,514.373718,-204.184387,527.878967
187,362.496735,119.941040,526.863037,438.296112,-89.302917,537.700745,533.407654,-206.669739,502.476318
188,363.723999,109.989731,515.502075,450.841461,-96.699532,519.009216,552.310547,-207.796829,477.474976
189,365.593140,99.820648,503.599396,463.664429,-103.163376,500.224304,570.628418,-208.108521,453.774963
190,368.265900,89.270638,491.603180,476.876617,-108.762039,481.812469,588.532227,-207.701340,431.036163
191,372.389923,78.616730,478.699554,489.672607,-113.725441,463.743622,605.545776,-206.502747,410.160309
192,376.593323,68.445839,466.308258,502.335449,-118.296120,446.330261,621.854126,-205.243576,390.873718
193,381.637695,58.257706,453.819244,514.810669,-122.418053,429.968781,637.299744,-203.986588,373.735535
194,387.030975,48.713970,441.671631,527.111938,-126.314011,414.426971,651.619263,-203.302200,358.270813
195,392.954407,40.479404,430.103973,539.438660,-129.696762,400.062561,665.340393,-202.807053,345.001068
196,399.185211,33.569977,419.398224,551.094177,-133.067749,387.596527,678.072815,-203.243286,333.525940
197,405.518707,27.861513,409.819885,562.526184,-136.355469,376.463898,690.220032,-204.290222,324.027710
198,411.607269,22.763668,401.347687,573.467957,-139.950058,367.198425,701.627869,-205.859406,316.402252
199,417.901703,18.059942,394.251801,584.044617,-143.816040,359.529388,712.303101,-208.242645,310.609406
200,424.267792,13.336957,388.353912,594.270081,-147.764542,353.663605,722.000916,-211.466782,306.141968
201,430.825195,8.358644,383.918335,603.980042,-152.247284,349.493988,730.976135,-215.318680,304.021515
202,437.395874,3.117051,380.862671,613.006470,-156.862213,347.379913,739.177124,-220.271149,303.019897
203,444.080475,-1.818989,379.474457,621.500183,-161.991760,347.073822,746.549744,-225.783798,303.850403
204,450.243195,-7.032926,379.643066,629.777466,-167.376801,348.381226,753.141235,-232.318130,306.831757
205,456.549469,-11.985271,381.085083,637.114563,-172.941803,351.545135,758.562561,-239.671005,311.404205
206,462.596375,-16.901175,383.504028,643.477173,-178.699890,356.351746,762.920532,-247.636978,317.940704
207,468.134247,-21.724199,386.848755,648.902466,-184.851578,362.693542,765.882385,-256.412994,326.021057
208,473.027985,-26.297047,390.916626,652.818909,-191.314392,370.241943,767.659973,-266.028015,335.638367
209,477.934326,-30.339901,395.687775,655.834961,-197.955994,379.056702,767.678894,-276.113525,346.698730
210,482.032379,-34.176323,400.653992,657.298584,-204.754242,388.775269,766.458130,-286.520538,359.004730
211,485.229462,-37.367508,405.959534,657.329895,-211.536499,399.338196,763.348450,-297.126740,372.590302
212,487.899109,-40.151569,411.444489,655.954285,-218.419922,410.592712,758.438354,-307.853577,386.727631
