DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - High Fidelity,,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:48:43.908 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3],Status
123, 1231503223, 0.999992612911603, -0.001987885288498213, 0.003285840171534993, -1.602768596712795E-4, -0.09775636154760296, -0.006324607059604506, 0.13881785623694218, 0
124, 1231519890, 0.9999922127399756, -0.0024704943289812833, 0.003030791202576433, -5.342488785110566E-4, -0.09879401699008475, -0.009059509203464678, 0.14174258082940916, 0
125, 1231536557, 0.9999929242806583, -0.0027299668047714234, 0.0024578528418737755, -8.109434443992481E-4, -0.10181707108484628, -0.009310496304009755, 0.14117721595866733, 0
126, 1231553224, 0.9999946408137227, -0.0020883712117109737, 0.0023639667329160012, -8.767615418999314E-4, -0.10481463837144905, -0.008211289795218246, 0.13324283317207125, 0
127, 1231569891, 0.999994364301781, -0.0019483823492607334, 0.002656827006186469, -6.453225218803761E-4, -0.1060144701332505, -0.00532966243899702, 0.12478152306567186, 0
128, 1231586558, 0.9999937641450071, -0.0021437808057798644, 0.0027759757509966125, -4.12108707166306E-4, -0.10624360652922643, -0.003867212276024256, 0.12410644051976481, 0
129, 1231603225, 0.9999937127264197, -0.0024726697837661633, 0.0025233029040396815, -3.0553923748989636E-4, -0.10393168287658847, -0.00583362677644887, 0.12481082081145015, 0
130, 1231619892, 0.9999944959744532, -0.002424944516268717, 0.0022403912860110013, -3.2910754745742177E-4, -0.10266435341247902, -0.008190706319557605, 0.11931890054757757, 0
131, 1231636559, 0.9999942072542867, -0.00231872808486025, 0.002473192764623822, -3.037688070190448E-4, -0.1045208556423271, -0.007068823554003673, 0.1116426832266774, 0
132, 1231653226, 0.999992345300459, -0.0024662504492346457, 0.0030375516100492055, -1.514679794765994E-5, -0.10694340013888369, -0.0056403186014642205, 0.10968494381113018, 0
133, 1231669893, 0.9999912349679755, -0.00243599949057325, 0.003394353550973811, 2.72502616885037E-4, -0.10680710898826236, -0.00797866045592218, 0.11423940262733764, 0
134, 1231686560, 0.9999921607077964, -0.0017972146336645567, 0.0034936067063216507, 4.932085712489737E-4, -0.10648983989833595, -0.010487866478079954, 0.11407880544815577, 0
135, 1231703227, 0.9999924713514845, -9.560299721357059E-4, 0.003715084010802561, 5.842925941002831E-4, -0.10837829949595548, -0.011410343774989546, 0.10614325066630578, 0
136, 1231719894, 0.9999908819696791, -7.309094415372669E-4, 0.004126799833369444, 8.19311922816493E-4, -0.1088994969796862, -0.011923851328708213, 0.09732781445003993, 0
137, 1231736561, 0.9999878997702447, -0.0012349830537611017, 0.004708708063245581, 7.093647349143765E-4, -0.10363737852536162, -0.014257006328545183, 0.09536214510306737, 0
138, 1231753228, 0.9999855655029227, -0.0021403821965107865, 0.00491504222114253, 3.604300447232339E-4, -0.10121963386164898, -0.014724260620516648, 0.0982318239552574, 0
139, 1231769895, 0.9999830283375248, -0.0031571894546666007, 0.0048927616249287995, -1.8993509925121363E-4, -0.10548385324789095, -0.01456790928787082, 0.10357793906996364, 0
140, 1231786562, 0.9999844497508464, -0.0029539743300554325, 0.004723005238543133, -2.5983392983441184E-4, -0.11504444901943742, -0.01276698999719183, 0.10833541842685049, 0
