DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2020-08-20 10:17:14.354 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3]
119, 244197093, 0.9999999403953552, 1.1437293142080307E-4, -1.8240325152873993E-4, 2.50217504799366E-4, 0.012727439403533936, 0.026893258094787598, 0.1590593457221985
120, 244213760, 0.9999999403953552, 1.0489951819181442E-4, -1.6055814921855927E-4, 2.714144065976143E-4, 0.013613522052764893, 0.02521294355392456, 0.15852981805801392
121, 244230427, 0.9999999403953552, 1.4260504394769669E-4, -4.1268765926361084E-5, 2.84380279481411E-4, 0.01480168104171753, 0.02639669179916382, 0.161515474319458
122, 244247094, 0.9999999403953552, -6.611272692680359E-5, -1.0835379362106323E-4, 2.6979390531778336E-4, 0.013396203517913818, 0.031031310558319092, 0.16238939762115479
123, 244263761, 0.9999998807907104, -3.1371787190437317E-4, -1.9028037786483765E-4, 3.1473953276872635E-4, 0.013237595558166504, 0.026168107986450195, 0.1602436900138855
124, 244280428, 0.9999999403953552, -1.8017366528511047E-5, -1.5555880963802338E-4, 2.8909649699926376E-4, 0.013645470142364502, 0.022597968578338623, 0.1580321192741394
125, 244297095, 0.9999999403953552, 3.0756834894418716E-4, -7.579848170280457E-5, 1.86174176633358E-4, 0.014950394630432129, 0.02379518747329712, 0.15930217504501343
126, 244313762, 0.9999999403953552, 3.7427525967359543E-4, -6.0055404901504517E-5, 1.6006175428628922E-4, 0.014278769493103027, 0.025901377201080322, 0.16071557998657227
127, 244330429, 1.0, 3.757607191801071E-5, -6.729736924171448E-5, 1.2221280485391617E-4, 0.01465296745300293, 0.026102542877197266, 0.16028237342834473
128, 244347096, 1.0, -1.135021448135376E-4, -7.018260657787323E-5, 8.2395039498806E-5, 0.014104247093200684, 0.02404695749282837, 0.15881317853927612
129, 244363763, 1.0, 1.1790823191404343E-4, -6.184354424476624E-5, 1.0552816092967987E-5, 0.014590620994567871, 0.022475123405456543, 0.15826374292373657
130, 244380430, 0.9999999403953552, 3.230879083275795E-4, 4.826020449399948E-5, -3.962963819503784E-5, 0.014885365962982178, 0.02415543794631958, 0.1585777997970581
131, 244397097, 1.0, 1.3204384595155716E-4, 5.212705582380295E-5, -6.379559636116028E-6, 0.014952301979064941, 0.027675211429595947, 0.15958988666534424
132, 244413764, 1.0, -1.820884644985199E-4, 5.269143730401993E-5, -2.923235297203064E-5, 0.014527201652526855, 0.025754034519195557, 0.15913647413253784
133, 244430431, 1.0, -1.4234520494937897E-4, 1.2847688049077988E-4, -3.7182122468948364E-5, 0.015141069889068604, 0.026204824447631836, 0.15850681066513062
134, 244447098, 0.9999999403953552, -2.764277160167694E-4, 1.337183639407158E-4, -6.792508065700531E-5, 0.014820992946624756, 0.023488759994506836, 0.16019666194915771
135, 244463765, 0.9999999403953552, -2.1189823746681213E-4, 1.6643572598695755E-4, -3.962032496929169E-5, 0.014630734920501709, 0.02683281898498535, 0.1607852578163147
136, 244480432, 0.9999999403953552, -3.1339190900325775E-4, 1.547178253531456E-4, -1.0153837502002716E-4, 0.01393979787826538, 0.025604307651519775, 0.16103380918502808
137, 244497099, 1.0, -7.672049105167389E-5, 6.422866135835648E-5, -1.2374483048915863E-4, 0.013046622276306152, 0.023563861846923828, 0.16065293550491333
138, 244513766, 0.9999999403953552, 3.2260362058877945E-4, 1.316918060183525E-4, -8.187815546989441E-5, 0.014350533485412598, 0.021914660930633545, 0.1592152714729309
139, 244530433, 0.9999999403953552, 2.9763113707304E-4, 1.9802618771791458E-4, -1.0184384882450104E-4, 0.015684902667999268, 0.027117013931274414, 0.1591385006904602
140, 244547100, 0.9999999403953552, -1.9419565796852112E-4, 2.2118445485830307E-4, -1.9860826432704926E-4, 0.01431429386138916, 0.027222275733947754, 0.16090989112854004
141, 244563767, 0.9999999403953552, -2.12155282497406E-4, 1.267334446310997E-4, -2.4244002997875214E-4, 0.012726902961730957, 0.02439957857131958, 0.16045260429382324
142, 244580434, 0.9999999403953552, 2.570962533354759E-4, 1.7242226749658585E-4, -1.5350617468357086E-4, 0.014104127883911133, 0.0208590030670166, 0.15861916542053223
143, 244597101, 0.9999997019767761, 6.556184962391853E-4, 3.152163699269295E-4, -1.102108508348465E-4, 0.014243364334106445, 0.02416515350341797, 0.15739965438842773
144, 244613768, 0.9999998807907104, 2.1467264741659164E-4, 3.5810191184282303E-4, -1.920759677886963E-4, 0.014544546604156494, 0.03084123134613037, 0.15829819440841675
145, 244630435, 0.9999998807907104, -4.1336938738822937E-4, 2.5496911257505417E-4, -2.068113535642624E-4, 0.01180952787399292, 0.027812540531158447, 0.15814054012298584
146, 244647102, 0.9999999403953552, -1.5128590166568756E-4, 3.212122246623039E-4, -6.108172237873077E-5, 0.01216733455657959, 0.022769570350646973, 0.15715265274047852
